"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Darius Bazley","PHO","SF,PF","224","138","38","34","22",".454",".543","20","27","43","616","38","63","1.41","44"
"Svi Mykhailiuk","CHA","SF,SG","222","53","53","4","15",".445",".667","42","24","32","468","26","35","2.21","23"
"Miles McBride","NYK","PG","222","50","72","8","37",".358",".667","40","25","64","760","28","37","2.88","60"
"Maxi Kleber","DAL","PF,C","220","135","52","30","12",".456",".711","39","27","37","930","27","38","1.93","85"
"Jabari Walker","POR","PF","216","131","34","13","10",".419",".756","16","29","56","619","34","67","1.17","69"
"Lindy Waters III","OKC","G","214","75","28","11","14",".393",".800","58","10","41","530","16","12","2.80","42"
"Ziaire Williams","MEM","SF,SG","210","79","35","6","14",".429",".773","25","37","37","561","17","59","0.95","58"
"Davis Bertans","OKC","PF,C","206","53","21","8","11",".431",".867","55","10","45","492","13","14","2.10","53"
"Dean Wade","CLE","PF,C","206","150","37","21","28",".412",".652","45","17","44","891","15","28","2.18","89"
"Justin Holiday","DAL","SG,SF","205","55","41","19","19",".378",".625","46","22","46","706","5","31","1.86","68"
"DeAndre Jordan","DEN","C","199","202","34","23","12",".765",".458","1","48","39","586","22","87","0.71","71"
"Dewayne Dedmon","PHI","C","199","134","26","19","9",".510",".674","12","25","38","426","33","65","1.04","75"
"Charles Bassey","SAS","C","199","193","48","33","16",".644",".595","3","41","35","508","22","84","1.17","74"
"Justise Winslow","POR","PF,PG,SF","196","145","98","11","30",".409",".714","14","43","29","776","20","67","2.28","89"
"Anthony Gill","WAS","SF,PF","195","99","34","12","7",".538",".731","4","15","59","624","49","67","2.27","70"
"Ousmane Dieng","OKC","F","193","105","46","7","14",".420",".652","26","26","39","569","15","50","1.77","42"
"Caleb Houstan","ORL","G","193","99","30","7","12",".361",".833","46","18","51","812","15","20","1.67","63"
"James Bouknight","CHA","SG","191","72","41","5","14",".358",".667","33","32","34","515","20","36","1.28","49"
"Keon Johnson","POR","SF,SG","189","44","59","6","19",".376",".659","28","43","40","416","27","39","1.37","43"
"JaVale McGee","DAL","C","186","107","11","26","4",".640",".585","2","36","42","355","24","78","0.31","54"
"Blake Wesley","SAS","SG","184","82","98","5","25",".321",".591","20","65","37","669","26","49","1.51","67"
"Rodney McGruder","DET","SG,SF","183","74","28","1","16",".408",".818","41","11","33","524","18","21","2.55","39"
"Christian Koloko","TOR","PF","182","171","31","57","21",".480",".627","1","20","58","802","37","71","1.55","128"
"Luka Garza","MIN","C TWO-WAY","181","63","18","2","3",".543",".789","14","14","28","243","41","49","1.29","43"
"Wesley Matthews","MIL","SG,SF","179","113","34","13","20",".363",".857","39","18","52","819","24","19","1.89","71"
"Jericho Sims","NYK","C,PF OUT","178","242","25","28","15",".776",".750","0","27","52","812","12","83","0.93","96"
"Stanley Johnson","FA","PF,SF FA","174","95","67","6","16",".533",".667","18","33","30","469","26","47","2.03","48"
"Isaiah Roby","NYK","C,PF","172","107","38","7","18",".432",".488","18","31","42","474","20","49","1.23","53"
"Amir Coffey","LAC","SF,SG","172","53","53","5","7",".386",".778","11","21","50","625","49","45","2.52","50"
"Ricky Rubio","CLE","PG","171","70","115","6","26",".343",".800","21","31","33","566","28","40","3.71","51"
"Blake Griffin","BOS","PF,C","170","155","61","9","14",".485",".656","23","22","41","570","21","40","2.77","75"
"Taj Gibson","WAS","PF,C","168","93","34","12","15",".520",".714","8","26","49","480","30","57","1.31","84"
"Goga Bitadze","ORL","C","167","137","39","26","16",".552",".548","6","22","38","457","23","63","1.77","64"
"Julian Champagnie","SAS","SF","165","60","10","5","6",".454",".824","33","11","17","318","14","26","0.91","26"
"Evan Fournier","NYK","SG,SF","165","49","36","3","16",".337",".857","35","22","27","459","18","21","1.64","46"
"Javonte Green","CHI","PG,SG","165","88","23","21","24",".565",".667","13","20","32","480","30","48","1.15","52"
"Johnny Davis","WAS","SG","163","63","28","8","10",".386",".519","17","16","28","423","14","49","1.75","48"
"Jordan McLaughlin","MIN","PG","161","62","148","4","32",".421",".833","24","33","43","678","15","37","4.48","28"
"Kai Jones","CHA","C,PF","157","123","15","30","17",".558",".731","4","31","46","550","19","63","0.48","65"
"Raul Neto","CLE","PG,SG","157","46","79","4","17",".518",".912","12","24","48","505","31","45","3.29","49"
"Moses Brown","FA","C FA","155","139","4","14","4",".635",".458","0","15","36","294","33","61","0.27","39"
"Admiral Schofield","ORL","SF,PF","155","62","31","5","8",".451",".913","24","16","37","451","21","31","1.94","61"
"Juan Toscano-Anderson","UTH","SF,PF","155","124","65","10","16",".448",".792","8","34","52","700","19","56","1.91","80"
"A.J. Green","MIL","G","154","45","22","0","5",".424","1.000","44","9","35","345","4","9","2.44","31"
"Bruno Fernando","ATL","C","153","137","31","34","6",".527",".700","0","25","39","405","35","59","1.24","74"
"Derrick Rose","NYK","PG,SG","152","40","46","5","7",".384",".917","19","22","27","338","11","42","2.09","18"
"Saben Lee","PHO","PG","151","45","67","1","19",".405",".737","11","24","25","374","42","38","2.79","32"
"TyTy Washington Jr.","HOU","PG","145","45","47","2","15",".363",".556","19","14","31","433","10","39","3.36","29"
"Brandon Boston Jr.","LAC","SG","143","30","20","0","9",".418",".763","12","12","22","248","29","39","1.67","21"
"Damian Jones","UTH","C","142","122","15","21","8",".640",".759","10","23","41","477","22","45","0.65","55"
"Dalano Banton","TOR","SF,PG","142","45","36","13","13",".420",".708","15","18","31","279","17","40","2.00","34"
"Kevon Harris","ORL","G","141","70","16","5","17",".439",".756","16","21","34","457","31","31","0.76","53"
"Furkan Korkmaz","PHI","SG,SF","140","42","22","3","10",".432",".722","18","24","37","353","26","30","0.92","18"
"Nathan Knight","MIN","PF,C","139","56","13","6","10",".568",".684","8","21","38","291","39","38","0.62","41"
"Frank Ntilikina","DAL","PG,SG","135","62","58","7","16",".364",".667","17","29","47","607","22","31","2.00","65"
"Markieff Morris","DAL","PF,C","132","71","31","5","9",".409","1.000","28","18","35","355","10","19","1.72","48"
"Richaun Holmes","DAL","PF,C","130","80","9","11","3",".618",".790","5","14","42","348","15","50","0.64","50"
"Chuma Okeke","ORL","PF","128","96","37","11","19",".353",".762","26","17","27","518","16","17","2.18","40"
"Max Christie","LAL","SG","128","75","21","7","9",".415",".875","26","13","41","512","14","18","1.62","33"
"Udoka Azubuike","UTH","C","125","119","11","15","6",".819",".350","0","18","36","359","7","59","0.61","34"
"Jae Crowder","MIL","SF,PF","124","69","27","6","12",".479",".833","24","7","18","340","10","21","3.86","27"
"Juancho Hernangomez","FA","PF,C,SF FA","122","123","25","6","16",".421",".563","17","15","42","614","9","31","1.67","43"
"Patrick Baldwin Jr.","WAS","G","122","40","11","4","6",".395",".667","32","11","31","226","4","11","1.00","14"
"Matt Ryan","MIN","F TWO-WAY","122","26","16","1","5",".370",".833","32","7","34","310","10","8","2.29","27"
"Gorgui Dieng","SAS","PF,C","121","107","53","14","4",".385",".769","21","32","31","358","10","24","1.66","57"
"Kenneth Lofton Jr.","MEM","F","120","51","20","2","5",".527",".593","6","12","24","176","16","43","1.67","28"
"Orlando Robinson","MIA","C","116","126","25","12","12",".528",".710","0","16","31","425","22","47","1.56","53"
"McKinley Wright IV","DAL","PG","114","47","58","5","8",".469",".684","9","19","27","335","13","37","3.05","24"
"Kira Lewis Jr.","NOR","PG,SG","114","33","23","2","10",".455",".864","15","10","25","235","19","25","2.30","24"
"Robin Lopez","CLE","C","112","51","19","8","2",".640",".778","2","25","37","299","14","46","0.76","43"
"Dominick Barlow","SAS","PF","110","102","24","19","10",".535",".720","0","15","28","408","18","46","1.60","56"
"Ish Smith","DEN","PG","108","54","100","7","8",".397",".500","2","44","43","398","2","50","2.27","33"
"Jake LaRavia","MEM","PF","105","63","21","4","12",".390",".778","24","18","35","414","7","13","1.17","49"
"Boban Marjanovic","HOU","C","102","60","9","2","5",".683",".741","0","14","31","171","20","41","0.64","10"
"Gary Payton II","GSW","PG,SG","101","69","30","5","21",".594",".857","13","16","22","369","6","28","1.88","43"
"Kessler Edwards","SAC","SF","100","61","23","6","14",".387",".733","17","13","35","386","11","19","1.77","40"
"Cody Zeller","MIA","C","98","64","10","4","3",".627",".686","0","14","15","217","24","37","0.71","33"
"Jamal Cain","MIA","F","98","52","12","1","11",".561",".773","7","6","18","240","17","30","2.00","21"
"Theo Pinson","DAL","SF,SG","95","62","46","1","6",".356",".846","22","12","40","323","11","9","3.83","34"
"Skylar Mays","POR","PG,SG","92","19","50","1","6",".500",".923","12","10","6","189","12","22","5.00","11"
"Frank Kaminsky III","HOU","C,PF","89","52","32","4","6",".492",".875","13","9","37","235","14","18","3.56","22"
"Bryn Forbes","FA","PG,SG FA","89","15","17","2","7",".361","1.000","14","12","25","267","15","16","1.42","22"
"Terry Taylor","CHI","SG","89","47","10","6","3",".520",".546","5","9","31","263","6","34","1.11","26"
"Davon Reed","FA","SG FA","89","59","23","4","15",".333",".667","17","20","43","342","16","11","1.15","39"
"Johnny Juzang","UTH","G","87","39","8","3","4",".337",".500","15","3","18","232","2","20","2.67","13"
"David Duke Jr.","BKN","G","85","29","21","1","10",".462",".706","1","18","23","228","12","35","1.17","31"
"Dalen Terry","CHI","PG","85","37","22","5","11",".444",".667","7","8","38","214","14","25","2.75","24"
"Nikola Jovic","MIA","SF","82","31","10","2","7",".406",".947","8","10","15","204","18","20","1.00","19"
"Kennedy Chandler","FA","PG FA","78","38","58","5","12",".422",".462","2","18","36","281","6","33","3.22","15"
"Peyton Watson","DEN","SF","75","37","11","11","2",".492",".550","6","8","23","187","11","23","1.38","14"
"Kemba Walker","FA","PG FA","72","16","19","2","2",".421",".810","7","4","9","144","17","17","4.75","11"
"Luka Samanic","FA","PF FA","69","30","15","2","6",".456",".692","8","10","7","161","9","18","1.50","17"
"Serge Ibaka","FA","PF,C FA","66","44","4","7","2",".482",".615","6","11","16","185","8","20","0.36","23"
"Jeff Dowtin Jr.","TOR","PG","61","23","31","3","9",".439",".667","5","5","25","259","6","20","6.20","13"
"Danny Green","CLE","SG,SF","61","14","6","3","6",".449","1.000","16","10","11","139","1","6","0.60","16"
"Moussa Diabate","LAC","PF","59","50","4","8","7",".511",".625","1","9","22","195","10","23","0.44","15"
"Mamadi Diakite","CLE","SF,C,PF","57","30","8","9","4",".480","1.000","7","12","22","176","2","17","0.67","26"
"Quenton Jackson","WAS","G","56","8","15","1","4",".452",".773","1","4","9","135","17","18","3.75","10"
"A.J. Lawson","DAL","SG","56","21","2","0","2",".500",".250","10","3","15","108","2","12","0.67","11"
"Jonathan Isaac","ORL","SF,PF OUT","55","44","6","4","14",".415",".556","6","4","11","124","5","16","1.50","5"
"Jeenathan Williams","POR","G","53","15","10","2","3",".615",".667","3","4","5","127","2","21","2.50","13"
"Trent Forrest","ATL","SG","52","37","38","2","7",".417",".667","0","15","23","277","2","25","2.53","17"
"Jay Huff","WAS","C","51","21","10","4","3",".600",".938","6","5","7","95","15","9","2.00","15"
"Thanasis Antetokounmpo","MIL","SF,PF","51","44","15","3","3",".435",".500","0","12","37","206","11","20","1.25","22"
"James Johnson","IND","PF,C,SF","51","30","15","6","7",".449",".500","3","8","18","162","4","19","1.88","32"
"Lindell Wigginton","MIL","PG","50","7","14","2","0",".487",".889","6","12","7","87","8","12","1.17","7"
"Garrett Temple","NOR","PG,SG,SF","50","17","13","2","9",".400",".750","11","4","25","162","3","7","3.25","15"
"Daniel Theis","IND","PF,C","49","22","9","6","2",".477",".417","2","3","7","109","5","19","3.00","7"
"Matthew Dellavedova","SAC","PG,SG","47","13","41","0","7",".340",".571","9","10","32","213","4","8","4.10","20"
"KZ Okpala","FA","SF FA","46","34","13","7","7",".421",".875","7","7","35","248","7","9","1.86","39"
"Josh Minott","MIN","PF","46","25","5","6","4",".500","1.000","2","3","15","96","8","16","1.67","10"
"John Butler Jr.","POR","F","45","17","11","9","7",".321",".750","8","1","19","221","3","9","11.00","22"
"Jared Rhoden","DET","G","45","37","4","1","4",".386","1.000","5","3","14","198","6","12","1.33","23"
"Jarrett Culver","FA","PG,SG,SF FA","44","38","6","2","6",".395",".692","1","7","10","137","9","16","0.86","14"
"Dru Smith","BKN","G G-League","44","24","22","4","10",".400","1.000","5","3","15","158","3","13","7.33","23"
"Otto Porter Jr.","TOR","SF,PF OUT","44","19","8","0","11",".500","1.000","6","4","8","146","8","9","2.00","7"
"Shaquille Harrison","LAL","SG,SF,PG","44","22","30","2","11",".417",".733","3","6","5","120","11","12","5.00","12"
"Meyers Leonard","MIL","PF,C","43","34","1","0","2",".483",".889","7","6","9","114","8","7","0.17","16"
"Alex Len","SAC","PF,C","43","60","12","11","4",".533",".688","0","16","26","161","11","16","0.75","28"
"Khem Birch","SAS","PF,C","43","25","7","5","5",".594",".800","1","8","20","162","4","18","0.88","24"
"Jaden Springer","PHI","SG,PG","42","14","8","3","7",".486",".750","2","3","16","89","6","15","2.67","15"
"Wendell Moore Jr.","MIN","F","42","18","18","5","8",".419",".800","2","8","29","153","4","16","2.25","13"
